Fecha,Hora,caudal m3 puelo
17/02/2022,18:46,201.340
17/02/2022,19:46,201.340
17/02/2022,20:46,201.340
17/02/2022,21:46,201.340
17/02/2022,22:46,200.066
17/02/2022,23:46,200.066
18/02/2022,00:46,200.066
18/02/2022,01:46,200.066
18/02/2022,02:46,200.066
18/02/2022,03:46,200.066
18/02/2022,04:46,200.066
18/02/2022,05:46,200.066
18/02/2022,06:46,200.066
18/02/2022,07:46,200.066
18/02/2022,08:46,200.066
18/02/2022,09:46,200.066
18/02/2022,10:46,200.066
18/02/2022,11:46,200.066
18/02/2022,12:46,200.066
18/02/2022,13:46,200.066
18/02/2022,14:46,200.066
18/02/2022,15:46,200.066
18/02/2022,16:46,198.792
18/02/2022,17:46,198.792
18/02/2022,18:46,198.792
18/02/2022,19:46,198.792
18/02/2022,20:46,198.792
18/02/2022,21:46,198.792
18/02/2022,22:46,197.518
18/02/2022,23:46,197.518
19/02/2022,00:46,197.518
19/02/2022,01:46,197.518
19/02/2022,02:46,197.518
19/02/2022,03:46,197.518
19/02/2022,04:46,197.518
19/02/2022,05:46,197.518
19/02/2022,06:46,197.518
19/02/2022,07:46,197.518
19/02/2022,08:46,197.518
19/02/2022,09:46,197.518
19/02/2022,10:46,197.518
19/02/2022,11:46,197.518
19/02/2022,12:46,197.518
19/02/2022,13:46,197.518
19/02/2022,14:46,197.518
19/02/2022,15:46,197.518
19/02/2022,16:46,198.792
19/02/2022,17:46,198.792
19/02/2022,18:46,198.792
19/02/2022,19:46,200.066
19/02/2022,20:46,200.066
19/02/2022,21:46,200.066
19/02/2022,22:46,200.066
19/02/2022,23:46,200.066
20/02/2022,00:46,200.066
20/02/2022,01:46,201.340
20/02/2022,02:46,202.882
20/02/2022,03:46,202.882
20/02/2022,04:46,202.882
20/02/2022,05:46,202.882
20/02/2022,06:46,204.424
20/02/2022,07:46,204.424
20/02/2022,08:46,205.966
20/02/2022,09:46,205.966
20/02/2022,10:46,205.966
20/02/2022,11:46,207.508
20/02/2022,12:46,207.508
20/02/2022,13:46,207.508
20/02/2022,14:46,207.508
20/02/2022,16:46,207.508
20/02/2022,17:46,207.508
20/02/2022,18:46,207.508
20/02/2022,19:46,207.508
20/02/2022,20:46,207.508
20/02/2022,21:46,207.508
20/02/2022,22:46,207.508
20/02/2022,23:46,207.508
21/02/2022,00:46,205.966
21/02/2022,01:46,205.966
21/02/2022,02:46,205.966
21/02/2022,03:46,205.966
21/02/2022,04:46,205.966
21/02/2022,05:46,205.966
21/02/2022,06:46,205.966
21/02/2022,07:46,205.966
21/02/2022,08:46,205.966
21/02/2022,09:46,205.966
21/02/2022,10:46,205.966
21/02/2022,11:46,205.966
21/02/2022,12:46,205.966
21/02/2022,13:46,205.966
21/02/2022,14:46,205.966
21/02/2022,15:46,205.966
21/02/2022,16:46,205.966
21/02/2022,17:46,205.966
21/02/2022,18:46,205.966
21/02/2022,19:46,204.424
21/02/2022,20:46,204.424
21/02/2022,21:46,204.424
21/02/2022,22:46,204.424
21/02/2022,23:46,204.424
22/02/2022,00:46,202.882
22/02/2022,01:46,202.882
22/02/2022,02:46,202.882
22/02/2022,03:46,202.882
22/02/2022,04:46,202.882
22/02/2022,05:46,202.882
22/02/2022,06:46,202.882
22/02/2022,07:46,202.882
22/02/2022,08:46,202.882
22/02/2022,09:46,201.340
22/02/2022,10:46,201.340
22/02/2022,11:46,201.340
22/02/2022,12:46,201.340
22/02/2022,13:46,201.340
22/02/2022,14:46,201.340
22/02/2022,15:46,201.340
22/02/2022,16:46,201.340
22/02/2022,17:46,201.340
22/02/2022,18:46,201.340
22/02/2022,19:46,200.066
22/02/2022,20:46,200.066
22/02/2022,21:46,200.066
22/02/2022,22:46,200.066
22/02/2022,23:46,200.066
23/02/2022,00:46,200.066
23/02/2022,01:46,198.792
23/02/2022,02:46,198.792
23/02/2022,03:46,198.792
23/02/2022,04:46,198.792
23/02/2022,05:46,198.792
23/02/2022,06:46,198.792
23/02/2022,07:46,200.066
23/02/2022,08:46,200.066
23/02/2022,09:46,200.066
23/02/2022,10:46,200.066
23/02/2022,11:46,200.066
23/02/2022,12:46,200.066
23/02/2022,13:46,200.066
23/02/2022,14:46,200.066
23/02/2022,15:46,200.066
23/02/2022,16:46,200.066
23/02/2022,17:46,200.066
23/02/2022,18:46,200.066
23/02/2022,19:46,200.066
23/02/2022,20:46,200.066
23/02/2022,21:46,198.792
23/02/2022,22:46,198.792
23/02/2022,23:46,198.792
24/02/2022,00:46,198.792
24/02/2022,01:46,198.792
24/02/2022,02:46,198.792
24/02/2022,03:46,198.792
24/02/2022,04:46,198.792
24/02/2022,05:46,198.792
24/02/2022,06:46,198.792
24/02/2022,07:46,198.792
24/02/2022,08:46,198.792
24/02/2022,09:46,200.066
24/02/2022,10:46,200.066
24/02/2022,11:46,200.066
24/02/2022,12:46,200.066
24/02/2022,13:46,200.066
24/02/2022,14:46,201.340
24/02/2022,15:46,201.340
24/02/2022,16:46,201.340
24/02/2022,17:46,202.882
24/02/2022,18:46,202.882
24/02/2022,19:46,204.424
24/02/2022,20:46,204.424
24/02/2022,21:46,205.966
24/02/2022,22:46,207.508
24/02/2022,23:46,209.050
25/02/2022,00:46,210.592
25/02/2022,01:46,210.592
25/02/2022,02:46,212.134
25/02/2022,03:46,215.218
25/02/2022,04:46,218.570
25/02/2022,05:46,222.190
25/02/2022,06:46,222.190
25/02/2022,07:46,222.190
25/02/2022,08:46,224.000
25/02/2022,09:46,222.190
25/02/2022,10:46,224.000
25/02/2022,11:46,224.000
25/02/2022,12:46,222.190
25/02/2022,13:46,225.810
25/02/2022,14:46,225.810
25/02/2022,15:46,224.000
25/02/2022,16:46,224.000
25/02/2022,17:46,225.810
25/02/2022,18:46,224.000
25/02/2022,19:46,224.000
25/02/2022,20:46,225.810
25/02/2022,21:46,225.810
25/02/2022,22:46,225.810
25/02/2022,23:46,231.240
26/02/2022,00:46,234.860
26/02/2022,01:46,243.808
26/02/2022,02:46,248.282
26/02/2022,03:46,248.282
26/02/2022,04:46,250.519
26/02/2022,05:46,252.756
26/02/2022,06:46,252.756
26/02/2022,07:46,257.230
26/02/2022,08:46,259.764
26/02/2022,09:46,267.366
26/02/2022,10:46,267.366
26/02/2022,11:46,274.968
26/02/2022,12:46,277.502
26/02/2022,13:46,280.036
26/02/2022,14:46,285.274
26/02/2022,15:46,287.978
26/02/2022,16:46,290.682
26/02/2022,17:46,296.090
26/02/2022,18:46,298.794
26/02/2022,19:46,296.090
26/02/2022,20:46,301.498
